# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.005         	3.521942e+02	-1.679183e+01	3.689861e+02	3.857779e+02	-2.718881e+01	4.129667e+02	-2.200778e+02	-1.928889e+02	1.760971e+02	-2.737038e-16	1.760971e+02	-1.760971e+02
0.01          	3.376984e+02	-3.033002e+01	3.680285e+02	3.983585e+02	-2.372465e+02	6.356050e+02	-4.364257e+02	-1.991792e+02	1.688492e+02	-2.553612e-16	1.688492e+02	-1.688492e+02
0.015         	2.785415e+02	-2.308244e+01	3.016239e+02	3.247064e+02	6.507844e+01	2.596279e+02	-9.727475e+01	-1.623532e+02	1.392708e+02	-2.229772e-16	1.392708e+02	-1.392708e+02
0.02          	2.690131e+02	-1.898088e+01	2.879940e+02	3.069749e+02	1.595014e+02	1.474735e+02	6.013932e+00	-1.534874e+02	1.345066e+02	-2.091651e-16	1.345066e+02	-1.345066e+02
0.025         	2.627904e+02	-2.045942e+01	2.832498e+02	3.037092e+02	1.348349e+02	1.688743e+02	-1.701969e+01	-1.518546e+02	1.313952e+02	-2.154740e-16	1.313952e+02	-1.313952e+02
0.03          	2.583476e+02	-2.515576e+01	2.835034e+02	3.086592e+02	5.977275e+01	2.488864e+02	-9.455683e+01	-1.543296e+02	1.291738e+02	-2.230749e-16	1.291738e+02	-1.291738e+02
0.035         	2.521424e+02	-3.261156e+01	2.847540e+02	3.173656e+02	-7.310020e+01	3.904658e+02	-2.317830e+02	-1.586828e+02	1.260712e+02	-2.284105e-16	1.260712e+02	-1.260712e+02
0.04          	2.530401e+02	-4.162688e+01	2.946670e+02	3.362939e+02	-2.314040e+02	5.676979e+02	-3.995510e+02	-1.681469e+02	1.265201e+02	-2.316725e-16	1.265201e+02	-1.265201e+02
0.045         	2.603835e+02	-5.153018e+01	3.119137e+02	3.634439e+02	-4.225819e+02	7.860258e+02	-6.043039e+02	-1.817219e+02	1.301918e+02	-2.302679e-16	1.301918e+02	-1.301918e+02
0.05          	2.604914e+02	-5.923743e+01	3.197289e+02	3.789663e+02	-5.648724e+02	9.438387e+02	-7.543556e+02	-1.894831e+02	1.302457e+02	-2.306582e-16	1.302457e+02	-1.302457e+02
0.055         	2.596112e+02	-6.518780e+01	3.247990e+02	3.899868e+02	-6.808483e+02	1.070835e+03	-8.758417e+02	-1.949934e+02	1.298056e+02	-2.255887e-16	1.298056e+02	-1.298056e+02
0.06          	2.606072e+02	-6.874477e+01	3.293519e+02	3.980967e+02	-7.538415e+02	1.151938e+03	-9.528898e+02	-1.990484e+02	1.303036e+02	-2.207567e-16	1.303036e+02	-1.303036e+02
0.065         	2.588398e+02	-7.171255e+01	3.305523e+02	4.022649e+02	-8.019590e+02	1.204224e+03	-1.003091e+03	-2.011324e+02	1.294199e+02	-2.158838e-16	1.294199e+02	-1.294199e+02
0.07          	2.619477e+02	-7.804011e+01	3.399878e+02	4.180280e+02	-9.298869e+02	1.347915e+03	-1.138901e+03	-2.090140e+02	1.309739e+02	-2.107975e-16	1.309739e+02	-1.309739e+02
0.075         	2.642511e+02	-8.304743e+01	3.472986e+02	4.303460e+02	-1.021139e+03	1.451485e+03	-1.236312e+03	-2.151730e+02	1.321256e+02	-2.068629e-16	1.321256e+02	-1.321256e+02
0.08          	2.677253e+02	-8.882199e+01	3.565473e+02	4.453693e+02	-1.124989e+03	1.570358e+03	-1.347674e+03	-2.226847e+02	1.338627e+02	-2.033630e-16	1.338627e+02	-1.338627e+02
0.085         	2.708762e+02	-9.342896e+01	3.643052e+02	4.577341e+02	-1.211125e+03	1.668859e+03	-1.439992e+03	-2.288671e+02	1.354381e+02	-1.996125e-16	1.354381e+02	-1.354381e+02
0.09          	2.728187e+02	-9.704505e+01	3.698637e+02	4.669088e+02	-1.273467e+03	1.740376e+03	-1.506921e+03	-2.334544e+02	1.364093e+02	-1.962774e-16	1.364093e+02	-1.364093e+02
0.095         	2.732584e+02	-1.002163e+02	3.734747e+02	4.736911e+02	-1.323285e+03	1.796976e+03	-1.560131e+03	-2.368455e+02	1.366292e+02	-1.934460e-16	1.366292e+02	-1.366292e+02
0.1           	2.720669e+02	-1.037536e+02	3.758206e+02	4.795742e+02	-1.380939e+03	1.860514e+03	-1.620727e+03	-2.397871e+02	1.360335e+02	-1.919270e-16	1.360335e+02	-1.360335e+02
0.105         	2.756510e+02	-1.089333e+02	3.845843e+02	4.935175e+02	-1.470269e+03	1.963786e+03	-1.717028e+03	-2.467588e+02	1.378255e+02	-1.903054e-16	1.378255e+02	-1.378255e+02
0.11          	2.770747e+02	-1.135598e+02	3.906345e+02	5.041944e+02	-1.548368e+03	2.052562e+03	-1.800465e+03	-2.520972e+02	1.385374e+02	-1.890358e-16	1.385374e+02	-1.385374e+02
0.115         	2.808152e+02	-1.184714e+02	3.992865e+02	5.177579e+02	-1.636796e+03	2.154554e+03	-1.895675e+03	-2.588789e+02	1.404076e+02	-1.873083e-16	1.404076e+02	-1.404076e+02
0.12          	2.808793e+02	-1.208820e+02	4.017613e+02	5.226433e+02	-1.674147e+03	2.196790e+03	-1.935469e+03	-2.613217e+02	1.404397e+02	-1.844294e-16	1.404397e+02	-1.404397e+02
0.125         	2.818528e+02	-1.230229e+02	4.048757e+02	5.278986e+02	-1.710603e+03	2.238501e+03	-1.974552e+03	-2.639493e+02	1.409264e+02	-1.811685e-16	1.409264e+02	-1.409264e+02
0.13          	2.829335e+02	-1.249149e+02	4.078484e+02	5.327633e+02	-1.743866e+03	2.276629e+03	-2.010247e+03	-2.663817e+02	1.414668e+02	-1.778593e-16	1.414668e+02	-1.414668e+02
